id,sport,level,cat1,cat2,cat3,cat4,cat5
"""20""","""2""","""10""","""mastering all kind of serves - very hard driven and placed""","""mastering returns - all kinds of for- and backhand returns / controlling and returning very hard and placed serves""","""mastering volleys - for- and backhand""","""mastering forehand play / topspin, slice & smash""","""mastering backhand / topspin, slice & smash"""
"""21""","""3""","""1""","""absolute beginner""","""absolute beginner""","""absolute beginner""","""absolute beginner""","""absolute beginner"""
"""22""","""3""","""2""","""underarm serve""","""keeping the ball in the air""","""only digging - keeping ball up""","""""",""""""
"""23""","""3""","""3""","""precise underhand"" - on target","""digging with right leg movement""","""setting ability in one direction""","""""",""""""
"""24""","""3""","""4""","""overhand""","""digging with control""","""setting over 6 meters in straight direction and high ball""","""""",""""""
"""25""","""3""","""5""","""overhand on target - float""","""digging with control and right leg movement""","""setting ability for long and short distance sets for the whole team""","""""",""""""
"""26""","""3""","""6""","""overhand float and rotation / spin""","""Set and digging technique to target""","""Fast movement to setting position - running from everywhere - setting front and back""","""""",""""""
"""27""","""3""","""7""","""different overhand varieties like float and top spin on target""","""different digging techniques to target""","""Setting ability to all positions - jump, front and back - high, quick and first tempo""","""""",""""""
"""28""","""3""","""8""","""jump - float and very precise float on target""","""clean passing on point various techniques""","""Complete setter - passing to the whole team from all positions and jump setting - very precise and on point - ","""""",""""""
"""29""","""3""","""9""","""powerful jump service, jump - float and very precise float""","""controlled passing on point all techniques and movements""","""Flexible and complete setter - can read the game and opponent - Jump setting and even with one hand""","""""",""""""
"""30""","""3""","""10""","""mastering all kind of serves - very hard driven and placed""","""mastering all kinds of passing techniques and tactics""","""mastering all kind of settings - setter in a pro team""","""""",""""""
"""31""","""4""","""1""","""absolute beginner""","""""","""""","""""",""""""
"""32""","""4""","""2""","""sometimes 15 - 30 min. run""","""""","""""","""""",""""""
"""33""","""4""","""3""","""goes often for a run - controls time and performance 60 % for minimum 30 min.- min. 3km/2mi""","""""","""""","""""",""""""
"""34""","""4""","""4""","""regular runner - minimum once a week -  equipped and checks performance - up to 30min. - min. 5km/3mi""","""""","""""","""""",""""""
"""35""","""4""","""5""","""regular runner, minimum twice a week for 45min. - min. 7km/4.5mi""","""""","""""","""""",""""""
"""36""","""4""","""6""","""regular runner - minimum twice a week -  equipped and checks performance - between 45 - 90min. Runs - min. 10km/6mi per hour""","""""","""""","""""",""""""
"""37""","""4""","""7""","""Good and regular runner, minimum twice a week - high performance with gear and health checks - sometimes participates in running events - min. 12km/7.5mi per hour""","""""","""""","""""",""""""
"""38""","""4""","""8""","""Good and fast regular runner - time settings, high performance with gear and health checks - sometimes participates in running events  - min. 15km/9mi per hour""","""""","""""","""""",""""""
"""39""","""4""","""9""","""Semi Pro - Pro Runner - runs almost every day  - takes time and health check ups - gear and runs regular competitions and half marathons - min. 17km/10.5mi per hour""","""""","""""","""""",""""""
"""40""","""4""","""10""","""Pro Runner - competes regularly in competitions and Marathons - min. 20km/12.5mi per hour""","""""","""""","""""",""""""
